Date, NAVPS 
20-May-16, 1.2188 
23-May-16, 1.2221 
24-May-16, 1.2294 
25-May-16, 1.2421 
26-May-16, 1.2290 
27-May-16, 1.2322 
30-May-16, 1.2382 
31-May-16, 1.2330 
1-Jun-16, 1.2466 
2-Jun-16, 1.2431 
3-Jun-16, 1.2480 
6-Jun-16, 1.2615 
7-Jun-16, 1.2790 
8-Jun-16, 1.2795 
9-Jun-16, 1.2544 
10-Jun-16, 1.2483 
13-Jun-16, 1.2522 
14-Jun-16, 1.2388 
15-Jun-16, 1.2460 
16-Jun-16, 1.2560 
17-Jun-16, 1.2643 
20-Jun-16, 1.2677 
21-Jun-16, 1.2820 
22-Jun-16, 1.2797 
23-Jun-16, 1.2752 
24-Jun-16, 1.2604 
27-Jun-16, 1.2734 
28-Jun-16, 1.2673 
29-Jun-16, 1.2847 
30-Jun-16, 1.2865 
1-Jul-16, 1.2871 
4-Jul-16, 1.2902 
5-Jul-16, 1.2863 
7-Jul-16, 1.2776 
8-Jul-16, 1.2802 
11-Jul-16, 1.2942 
12-Jul-16, 1.3079 
13-Jul-16, 1.3094 
14-Jul-16, 1.3095 
15-Jul-16, 1.3183 
18-Jul-16, 1.3110 
19-Jul-16, 1.3166 
20-Jul-16, 1.3199 
21-Jul-16, 1.3311 
22-Jul-16, 1.3206 
25-Jul-16, 1.3229 
26-Jul-16, 1.3216 
27-Jul-16, 1.3332 
28-Jul-16, 1.3234 
29-Jul-16, 1.3152 
1-Aug-16, 1.3296 
2-Aug-16, 1.3247 
3-Aug-16, 1.3070 
4-Aug-16, 1.3191 
5-Aug-16, 1.3229 
8-Aug-16, 1.3292 
9-Aug-16, 1.3400 
10-Aug-16, 1.3406 
11-Aug-16, 1.3309 
12-Aug-16, 1.3244 
15-Aug-16, 1.3242 
16-Aug-16, 1.3279 
17-Aug-16, 1.3243 
18-Aug-16, 1.3242 
19-Aug-16, 1.3220 
22-Aug-16, 1.3296 
23-Aug-16, 1.3210 
24-Aug-16, 1.3114 
25-Aug-16, 1.3102 
26-Aug-16, 1.3075 
30-Aug-16, 1.2985 
31-Aug-16, 1.2987 
1-Sep-16, 1.2966 
2-Sep-16, 1.3021 
5-Sep-16, 1.2965 
6-Sep-16, 1.2918 
7-Sep-16, 1.2770 
8-Sep-16, 1.2849 
9-Sep-16, 1.2795 
13-Sep-16, 1.2729 
14-Sep-16, 1.2717 
15-Sep-16, 1.2910 
16-Sep-16, 1.2752 
19-Sep-16, 1.2777 
20-Sep-16, 1.2879 
21-Sep-16, 1.2901 
22-Sep-16, 1.3015 
23-Sep-16, 1.2976 
