Philequity Fund,,Philequity PSE Index Fund,,Philequity Dividend Yield Fund,,Philequity Peso Bond Fund,,Philequity Dollar Income Fund,
Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS 
14-Mar-96, 1.5352 ,,,,,,,,
15-Mar-96, 1.5700 ,,,,,,,,
18-Mar-96, 1.5607 ,,,,,,,,
19-Mar-96, 1.5656 ,,,,,,,,
20-Mar-96, 1.5613 ,,,,,,,,
21-Mar-96, 1.5585 ,,,,,,,,
22-Mar-96, 1.5694 ,,,,,,,,
25-Mar-96, 1.5639 ,,,,,,,,
26-Mar-96, 1.5602 ,,,,,,,,
27-Mar-96, 1.5528 ,,,,,,,,
28-Mar-96, 1.5599 ,,,,,,,,
29-Mar-96, 1.5718 ,,,,,,,,
1-Apr-96, 1.5728 ,,,,,,,,
2-Apr-96, 1.6000 ,,,,,,,,
3-Apr-96, 1.6430 ,,,,,,,,
10-Apr-96, 1.6637 ,,,,,,,,
11-Apr-96, 1.6579 ,,,,,,,,
12-Apr-96, 1.6930 ,,,,,,,,
15-Apr-96, 1.7212 ,,,,,,,,
16-Apr-96, 1.7182 ,,,,,,,,
17-Apr-96, 1.7384 ,,,,,,,,
18-Apr-96, 1.7514 ,,,,,,,,
19-Apr-96, 1.7782 ,,,,,,,,
22-Apr-96, 1.7863 ,,,,,,,,
23-Apr-96, 1.8146 ,,,,,,,,
24-Apr-96, 1.7959 ,,,,,,,,
25-Apr-96, 1.7960 ,,,,,,,,
26-Apr-96, 1.8051 ,,,,,,,,
29-Apr-96, 1.7996 ,,,,,,,,
30-Apr-96, 1.7892 ,,,,,,,,
2-May-96, 1.8461 ,,,,,,,,
3-May-96, 1.8461 ,,,,,,,,
7-May-96, 1.8463 ,,,,,,,,
8-May-96, 1.8464 ,,,,,,,,
9-May-96, 1.8702 ,,,,,,,,
10-May-96, 1.8793 ,,,,,,,,
13-May-96, 1.9161 ,,,,,,,,
14-May-96, 1.9164 ,,,,,,,,
15-May-96, 1.9507 ,,,,,,,,
16-May-96, 1.9748 ,,,,,,,,
17-May-96, 1.9930 ,,,,,,,,
20-May-96, 2.0051 ,,,,,,,,
21-May-96, 2.0143 ,,,,,,,,
22-May-96, 2.0252 ,,,,,,,,
23-May-96, 2.0327 ,,,,,,,,
24-May-96, 2.0663 ,,,,,,,,
27-May-96, 2.0876 ,,,,,,,,
28-May-96, 2.0799 ,,,,,,,,
29-May-96, 2.0947 ,,,,,,,,
30-May-96, 2.0986 ,,,,,,,,
31-May-96, 2.0810 ,,,,,,,,
3-Jun-96, 2.0717 ,,,,,,,,
4-Jun-96, 2.0576 ,,,,,,,,
5-Jun-96, 2.0751 ,,,,,,,,
